n,i,j,pstar,E,F3,F3_sign,S_minus,S_plus,slope_left,slope_right,certified_by
500,265,286,0.5509282885751748,482.7434907715691,44.88562820365422,+,-0.2475628061930162,0.2349630525010631,-1.00063254963294,0.9497051754631053,double
500,265,287,0.5519298978077938,482.7472019271996,44.54389897069717,+,-0.01277959537015518,0.4712607541241594,-0.05167580096348335,1.905598434586856,double
500,266,286,0.5519240328923282,482.7472016142391,46.50219523634121,+,-0.4398055716255257,0.03917255283667076,-1.778401314571408,0.1583984468463473,double
500,266,287,0.5529255026331356,482.7509655452221,46.2214874114897,+,-0.197109774237955,0.285438369604029,-0.7973732135456071,1.154691140610911,double
500,267,287,0.5539211358319314,482.7548205120434,47.89423275699227,+,-0.3883852567371514,0.09063232053257442,-1.571821238092144,0.3667950927578251,double
500,267,288,0.5549227197709332,482.7587298196531,47.55586983752431,+,-0.1466446317525016,0.3359265149315728,-0.5937426379030043,1.360117262619349,double
500,268,288,0.5559182416201911,482.762729052632,49.28490149817117,+,-0.3369543749461354,0.1421040331705554,-1.364888707416376,0.5756155864835366,double
500,268,289,0.5569199401141156,482.7667839772328,48.88871528154039,+,-0.09617126604344177,0.3864235848051909,-0.3897358531061011,1.565988799776636,double
500,269,289,0.5579153503713812,482.770927625557,50.67414655131563,+,-0.2855168903096194,0.1935837138516784,-1.157598776046119,0.7848651965008286,double
500,269,290,0.5589171637892827,482.7751284153972,50.21996303896748,+,-0.04569385947036251,0.4369253797743356,-0.1853489954786473,1.772309916014567,double
500,270,289,0.5589108075346391,482.7751288688145,52.44617207129846,+,-0.4629783597828881,0.01052202313394524,-1.877983479932896,0.04268058150771316,double
500,270,290,0.5599124622007552,482.7794166354798,52.06191253714661,+,-0.2340771242471908,0.2450670277461419,-0.9499478602479879,0.9945478413300168,double
500,271,290,0.5609078127942069,482.7837626424434,53.88813958940284,+,-0.4106295240696787,0.06293273816133838,-1.667258624768422,0.2555226653940736,double
500,271,291,0.561909577224629,482.7881965022681,53.44814356579093,+,-0.1826399210442635,0.2965491165810674,-0.741934416496691,1.204665412223107,double
500,272,291,0.562904820987857,482.7926874415132,55.32869434687132,+,-0.3582855908047497,0.1153405132144818,-1.456191051308184,0.4687819647420641,double
500,272,292,0.563906695560372,482.7972676610748,54.83278324126064,+,-0.131210879767476,0.3480243667111025,-0.5335598937943881,1.415216820962613,double
500,272,345,0.6176533184281107,483.154450855267,-242.7936280173035,-,-0.001752421497696663,0.007649397044854143,-0.007420556358992937,0.03239105543858124,double
500,273,292,0.564901832221946,482.8019037085191,56.7677851329762,+,-0.3059525985201259,0.1677392992598132,-1.244783744566905,0.682455890401349,double
